Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NUE,0,0,0,0,12320000000.0,15250000000.0,15.86,24.51,N/A,0.56,1.21,0.69,7.09,3.57,7.66,5.89,8.48,22120000000.0,72.72,-7.7,2700000000.0,2480000000.0,782630000.0,2.57,-95.9,1390000000.0,4.62,4330000000.0,40.83,3.54,33.77,2360000000.0,481250000.0,1.47,37.49,47.11,3200000.0,301140000.0,299500000.0,0.65,81.57,4660000.0,1.32,1.77,4840000.0
0,0,NUS,0,0,0,0,1860000000.0,2029999999.9999998,13.32,N/A,N/A,0.86,2.36,0.88,6.51,6.49,10.17,8.4,18.65,2310000000.0,41.77,-16.9,1840000000.0,311480000.0,150280000.0,2.69,-54.1,361660000.0,6.97,567740000.0,70.92,1.74,15.07,255140000.0,179080000.0,1.12,24.9,32.65,1240000.0,51900000.0,49390000.0,2.97,78.95,2360000.0,2.36,6.01,1900000.0
0,0,NVDA,0,0,0,0,187540000000.0,179280000000.0,67.45,41.32,3.91,17.26,15.37,16.42,52.68,25.61,26.07,11.62,25.95,10920000000.0,17.93,40.8,6770000000.0,3230000000.0,2800000000.0,4.52,68.0,10900000000.0,17.81,2640000000.0,21.66,7.67,19.92,4760000000.0,3190000000.0,1.33,276.26,246.46,15780000.0,615130000.0,586220000.0,4.15,69.23,10650000.0,0.76,1.81,11450000.0
0,0,NWL,0,0,0,0,5110000000.0,11270000000.0,N/A,12.48,N/A,0.53,1.48,1.18,-60.09,-10.69,8.42,3.14,-24.08,9560000000.0,22.57,-7.6,3240000000.0,1250000000.0,-1020000000.0,-2.41,N/A,476000000.0,1.12,6640000000.0,190.95,1.33,8.14,1270000000.0,3610000000.0,1.05,12.84,17.04,4850000.0,424100000.0,420640000.0,0.78,90.56,15340000.0,3.72,5.4,18880000.0
0,0,NWSA,0,0,0,0,6490000000.0,7950000000.0,N/A,90.91,13.39,0.66,0.72,0.83,-16.73,-9.66,4.73,1.85,-12.47,9550000000.0,16.27,-7.8,4450000000.0,883000000.0,-923000000.0,-1.57,N/A,1390000000.0,2.36,2360000000.0,27.59,1.39,13.32,729000000.0,379620000.0,1.42,9.14,12.19,3520000.0,388860000.0,506750000.0,0.58,101.46,7340000.0,2.31,1.9,10750000.0
0,0,NYX,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,OI,0,0,0,0,1140000000.0,6650000000.0,N/A,4.02,0.61,0.17,N/A,1.01,13.12,-6.49,9.01,3.79,-75.14,6610000000.0,42.49,-4.7,1210000000.0,1030000000.0,-426000000.0,-2.76,-36.7,891000000.0,5.69,6400000000.0,8418.42,1.62,-0.11,685000000.0,335250000.0,1.66,6.92,9.86,2880000.0,156570000.0,154990000.0,1.04,95.37,10630000.0,3.83,6.84,9580000.0
0,0,OKE,0,0,0,0,12310000000.0,26050000000.0,15.49,9.13,0.77,1.3,2.21,2.74,12.7,8.4,20.53,5.97,13.32,9520000000.0,23.0,-23.1,3380000000.0,2450000000.0,798410000.0,1.92,N/A,531630000.0,1.28,14510000000.0,260.86,1.36,13.44,2020000000.0,-2410000000.0,2.08,26.49,57.85,7380000.0,413910000.0,410920000.0,0.67,75.92,12220000.0,1.51,3.82,9580000.0
0,0,OMC,0,0,0,0,11490000000.0,15130000000.0,8.82,9.82,6.06,0.79,4.7,1.02,6.3,8.96,13.88,5.28,44.9,14890000000.0,68.26,-1.8,2710000000.0,2300000000.0,1330000000.0,6.09,-1.9,2690000000.0,12.57,6330000000.0,202.4,0.92,11.42,1260000000.0,1160000000.0,0.77,53.82,70.31,2900000.0,214280000.0,212870000.0,0.87,107.51,20660000.0,7.39,11.03,20160000.0
0,0,ORCL,0,0,0,0,165880000000.0,191700000000.0,16.75,12.55,1.52,4.47,11.65,4.82,11.16,27.06,35.72,8.61,55.01,39770000000.0,12.1,1.9,31510000000.0,16370000000.000002,10760000000.0,3.18,-6.3,25860000000.0,8.2,53570000000.0,359.96,2.12,4.5,13950000000.0,10050000000.0,0.88,51.54,52.96,15300000.0,3150000000.0,2009999999.9999998,36.36,52.78,28370000.0,2.19,1.33,25170000.0
